total_comments,root_degree,avg_tree_size,avg_depth
6,6,1.0,1.0
22,14,1.6,1.2
5,3,1.7,1.3
68,66,1.0,1.0
6,6,1.0,1.0
1,1,1.0,1.0
82,74,1.1,1.1
1,1,1.0,1.0
52,42,1.2,1.2
2,2,1.0,1.0
2,2,1.0,1.0
1,1,1.0,1.0
2,2,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
19,4,4.8,3.5
4,2,2.0,2.0
92,66,1.4,1.3
7,5,1.4,1.4
12,5,2.4,2.0
4,2,2.0,2.0
1,1,1.0,1.0
5,3,1.7,1.7
4,3,1.3,1.3
3,3,1.0,1.0
78,70,1.1,1.1
13,7,1.9,1.9
1,1,1.0,1.0
7,4,1.8,1.5
1,1,1.0,1.0
35,35,1.0,1.0
9,4,2.2,2.0
1,1,1.0,1.0
4,4,1.0,1.0
4,4,1.0,1.0
9,9,1.0,1.0
3,1,3.0,3.0
8,3,2.7,1.7
1,1,1.0,1.0
2,1,2.0,2.0
71,21,3.4,1.8
5,5,1.0,1.0
4,4,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
3,2,1.5,1.5
286,89,3.2,1.7
8,5,1.6,1.6
3,3,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
19,11,1.7,1.5
1,1,1.0,1.0
305,303,1.0,1.0
61,19,3.2,2.1
5,5,1.0,1.0
21,10,2.1,1.9
34,22,1.5,1.4
4,2,2.0,2.0
14,9,1.6,1.3
3,2,1.5,1.5
1,1,1.0,1.0
1,1,1.0,1.0
7,6,1.2,1.2
38,8,4.8,3.2
6,1,6.0,3.0
5,4,1.2,1.2
4,3,1.3,1.3
2,2,1.0,1.0
16,15,1.1,1.1
1,1,1.0,1.0
1,1,1.0,1.0
2,2,1.0,1.0
1,1,1.0,1.0
2,2,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
4,2,2.0,1.5
10,3,3.3,2.7
7,7,1.0,1.0
3,2,1.5,1.5
4,2,2.0,2.0
1,1,1.0,1.0
22,10,2.2,1.8
13,7,1.9,1.9
6,5,1.2,1.2
1,1,1.0,1.0
1,1,1.0,1.0
27,6,4.5,2.7
6,2,3.0,2.5
1,1,1.0,1.0
4,3,1.3,1.3
8,5,1.6,1.6
1,1,1.0,1.0
9,9,1.0,1.0
6,4,1.5,1.5
2,1,2.0,2.0
7,3,2.3,1.7
1,1,1.0,1.0
96,18,5.3,3.2
2,2,1.0,1.0
4,2,2.0,2.0
4,3,1.3,1.3
1,1,1.0,1.0
1,1,1.0,1.0
41,8,5.1,2.6
1,1,1.0,1.0
1,1,1.0,1.0
4,4,1.0,1.0
2,2,1.0,1.0
1,1,1.0,1.0
14,2,7.0,6.5
1,1,1.0,1.0
7,6,1.2,1.2
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
5,3,1.7,1.3
2,2,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
3,3,1.0,1.0
7,2,3.5,3.0
80,30,2.7,2.3
1,1,1.0,1.0
2,2,1.0,1.0
18,4,4.5,3.0
1,1,1.0,1.0
6,5,1.2,1.2
2,1,2.0,2.0
1,1,1.0,1.0
2,2,1.0,1.0
6,1,6.0,5.0
66,21,3.1,2.8
3,2,1.5,1.5
17,6,2.8,2.5
53,18,2.9,2.2
15,6,2.5,2.2
2,1,2.0,2.0
1,1,1.0,1.0
2,2,1.0,1.0
2,2,1.0,1.0
4,1,4.0,3.0
7,6,1.2,1.2
11,4,2.8,2.2
10,8,1.2,1.2
5,5,1.0,1.0
1,1,1.0,1.0
45,23,2.0,1.8
8,6,1.3,1.3
1,1,1.0,1.0
2,1,2.0,2.0
1,1,1.0,1.0
25,6,4.2,3.2
6,4,1.5,1.5
4,2,2.0,1.5
2,2,1.0,1.0
4,2,2.0,2.0
2,2,1.0,1.0
1,1,1.0,1.0
20,20,1.0,1.0
2,2,1.0,1.0
10,7,1.4,1.3
2,2,1.0,1.0
74,19,3.9,2.3
6,3,2.0,2.0
25,10,2.5,1.6
2,1,2.0,2.0
4,3,1.3,1.3
3,2,1.5,1.5
7,7,1.0,1.0
11,6,1.8,1.8
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
2,1,2.0,2.0
1,1,1.0,1.0
1,1,1.0,1.0
2,2,1.0,1.0
1,1,1.0,1.0
13,12,1.1,1.1
23,7,3.3,2.7
4,4,1.0,1.0
5,4,1.2,1.2
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
2,2,1.0,1.0
1,1,1.0,1.0
15,8,1.9,1.6
1,1,1.0,1.0
1,1,1.0,1.0
3,3,1.0,1.0
1,1,1.0,1.0
5,2,2.5,2.0
3,3,1.0,1.0
1,1,1.0,1.0
12,7,1.7,1.6
62,34,1.8,1.7
4,4,1.0,1.0
1,1,1.0,1.0
1,1,1.0,1.0
